equipment,ip_address,incident_time
32006-Eltex1,172.16.9.58,2024-10-08 10:50:13
46003-Eltex1,172.16.9.214,2024-10-08 10:54:14
38012-Eltex2,172.20.22.206,2024-10-08 10:59:18
24036-Eltex1,172.16.28.246,2024-10-08 10:45:33
24036-Eltex2,172.20.28.246,2024-10-08 10:45:33
24036-Eltex2,172.20.28.246,2024-10-08 10:45:33
32010-Eltex2,172.20.32.126,2024-10-08 11:29:13
77156-Eltex1,172.16.2.154,2024-10-08 11:38:12
72034-Eltex2,172.20.19.98,2024-10-08 10:10:33
03009-Eltex1,172.16.25.126,2024-10-08 11:52:13
03009-Eltex1,172.16.25.126,2024-10-08 11:59:13
03009-Eltex1,172.16.25.126,2024-10-08 12:08:13
61029-Eltex2,172.20.10.194,2024-10-08 12:12:14
61029-Eltex2,172.20.10.194,2024-10-08 12:26:13
61026-Eltex2,172.20.10.182,2024-10-08 12:37:13
52029-Eltex2,172.20.17.58,2024-10-08 12:39:19
52028-Eltex2,172.20.17.54,2024-10-08 12:40:14
61026-Eltex2,172.20.10.182,2024-10-08 12:45:13
05002-Eltex1,172.16.11.238,2024-10-08 12:53:16
67014-s-terra1,198.18.35.242,2024-10-08 12:51:04
67014-Eltex2,172.20.33.242,2024-10-08 13:00:10
23062-s-terra1,198.18.36.18,2024-10-08 13:06:02
72042-Eltex1,172.16.28.150,2024-10-08 13:13:15
77212-s-terra39,198.18.128.58,2024-10-08 13:22:11
31012-Eltex1,172.16.10.70,2024-10-08 13:22:14
16048-Eltex1,172.16.33.114,2024-10-08 13:26:10
83001-Eltex1,172.16.6.122,2024-10-08 13:41:13
33014-Eltex2,172.20.30.178,2024-10-08 13:40:15
27024-Eltex2,172.20.27.102,2024-10-08 13:52:12
66049-Eltex1,172.16.18.230,2024-10-08 14:13:16
83001-Eltex1,172.16.6.122,2024-10-08 14:17:13
83001-Eltex1,172.16.6.122,2024-10-08 14:26:25
32006-Eltex1,172.16.9.58,2024-10-08 14:49:14
55019-Eltex1,172.16.28.146,2024-10-08 14:55:14
55024-Eltex1,172.16.29.198,2024-10-08 14:55:15
23004-Eltex2,172.20.10.250,2024-10-08 15:00:16
